Sinclair - ZX Spectrum Missing

Boxarts  1490/2499  59.62%
Snaps    2417/2499  96.72%
Titles   2045/2499  81.83%
Total    5952/7497  79.39%

Name                                                                                                              Boxart  Snap  Title
Airbrush (Soft Hits)                                                                                                 -      -     -
Airline (CCS)                                                                                                        ✗      -     -
Airliner (Your Computer)                                                                                             -      -     -
Airwolf (Elite Systems Ltd)                                                                                          ✗      -     -
Airwolf II (Hit-Pak)                                                                                                 ✗      -     -
Akbarr (ARDENT Software)                                                                                             -      -     -
Aladdin's Cave (Artic Computing Ltd)                                                                                 -      -     -
Alcatraz Harry (Mastertronic Ltd)                                                                                    -      -     -
Alcatraz II (Scorpio Gamesworld Ltd)                                                                                 -      -     -
Alchemist (Imagine Software Ltd)                                                                                     ✗      -     -
Alhambra, La (Pepsi Soft)                                                                                            ✗      -     ✗
Ali-Bebe (Future Stars)                                                                                              -      -     -
Alien (Mind Games)                                                                                                   -      -     -
Alien (Your Sinclair)                                                                                                ✗      -     -
Alien 99 (True Video)                                                                                                ✗      -     ✗
Alien Adventure (Stephen Hartley Software)                                                                           -      -     -
Alien Attack (A.C.E. [3])                                                                                            -      -     -
Alien Attack (R.D. Foord Software)                                                                                   ✗      -     -
Alien City Adventure (Big K)                                                                                         ✗      -     ✗
Alien Command (Jega Software)                                                                                        -      -     ✗
Alien Destroyer (Sinclair Research Ltd)                                                                              -      -     -
Alien Evolution (Gremlin Graphics Software Ltd)                                                                      -      -     -
Alien Highway (Vortex Software)                                                                                      -      -     -
Alien Insects (Macronics Systems Ltd)                                                                                ✗      -     -
Alien Kill (Mastertronic Ltd)                                                                                        -      -     -
Alien Maze (CRL Group PLC)                                                                                           ✗      -     -
Alien Research Centre (Zenobi Software)                                                                              ✗      -     -
Alien Swarm (Titan Programs Ltd)                                                                                     -      -     -
Alien Syndrome (ACE Software [1])                                                                                    -      -     -
Aliens (Professional Software)                                                                                       -      -     -
All Present And Correct (Bob's Stuff)                                                                                ✗      -     -
All in a Day's Work (Zenobi Software)                                                                                ✗      -     -
All or Nothing (Abbex Electronics Ltd)                                                                               -      -     -
All-American Basketball (Zeppelin Games Ltd)                                                                         ✗      -     -
Alma de Guerrero (Beyker Soft)                                                                                       ✗      -     -
Alpine Games (Atlantis Software Ltd)                                                                                 -      -     -
Alstrad (The Guild)                                                                                                  ✗      -     -
Alter Earth (Double Play Adventures)                                                                                 ✗      -     -
Alter Ego (RetroSouls)                                                                                               -      -     -
Alternative World Games (Gremlin Graphics Software Ltd)                                                              -      -     -
Amaurote (Mastertronic Added Dimension)                                                                              -      -     -
Amaze (Bytesize)                                                                                                     -      -     ✗
Amazonia (Ciberne Software)                                                                                          -      -     -
American 3D Pool (Zeppelin Games Ltd)                                                                                -      -     -
American Football (Mind Games)                                                                                       -      -     -
American Football (Softstone Ltd)                                                                                    ✗      -     -
American Tag Team Wrestling (Zeppelin Games Ltd)                                                                     -      -     -
Amity's Vile (Michael Bailey)                                                                                        ✗      -     ✗
Amo del Mundo (Positive)                                                                                             -      -     -
Amoto's Puf (SPE)                                                                                                    -      -     -
Amtrak Rail Pass (Ashley Greenup)                                                                                    ✗      -     -
Amulet of Darath, The (Zenobi Software)                                                                              ✗      -     -
Amulet, The (Sentient Software Ltd)                                                                                  -      -     -
Anaconda (Software Projects Ltd)                                                                                     -      -     -
Anagrams (Ian J. Rogers)                                                                                             -      -     -
Anamagon's Temple, The (Mediandroid)                                                                                 ✗      -     -
Anarchy (Rack-It)                                                                                                    -      -     -
Android One (Vortex Software)                                                                                        -      -     -
Android Two (Vortex Software)                                                                                        -      -     -
Androide (ERE Informatique)                                                                                          -      -     -
Androids (Sunshine Books Ltd)                                                                                        -      -     -
Andromeda 3 (ZX Computing)                                                                                           ✗      -     ✗
Andy Capp (Mirrorsoft Ltd)                                                                                           ✗      -     -
Anfractuos (Players Software)                                                                                        -      -     -
Angle Ball (Mastertronic Added Dimension)                                                                            -      -     ✗
Angler (Virgin Games Ltd)                                                                                            -      -     -
Anglia Rover (Dee-Kay Systems)                                                                                       -      -     -
Anglo Scot (Dee-Kay Systems)                                                                                         -      -     -
Ankh-Morpork                                                                                                         ✗      -     -
Annals of Rome (PSS)                                                                                                 -      -     -
Ant Attack (Quicksilva Ltd)                                                                                          -      -     ✗
Antares (Dro Soft)                                                                                                   -      -     -
Antiaereo (Ediciones Nueva Lente S.A._Ediciones Ingelek S.A.)                                                        ✗      -     ✗
Antics (Bug-Byte Software Ltd)                                                                                       -      -     -
Antteroo (Central Solutions)                                                                                         -      -     -
Anttilis Mission, The (Compass Software)                                                                             ✗      -     -
Apache Raid!! (Pirate Software Ltd)                                                                                  -      -     -
Apfel-Kobold (Happy Computer)                                                                                        ✗      -     ✗
Apollo 11 (Darkstar)                                                                                                 -      -     -
Apple Catcher (ZX Computing)                                                                                         ✗      -     ✗
Apple Jam (DK'Tronics Ltd)                                                                                           -      -     -
Appleton (Walter Pooley)                                                                                             ✗      -     -
Apprentice, The (Zenobi Software)                                                                                    ✗      -     -
April 7th (Zenobi Software)                                                                                          ✗      -     -
Aquaplane (Quicksilva Ltd)                                                                                           -      -     -
Aquarius (Bug-Byte Software Ltd)                                                                                     -      -     -
Aracnav (Mariano E.M. Chiaverano)                                                                                    -      -     ✗
Arany Pince (NyitraiSOFT)                                                                                            ✗      -     -
Arcade Trivia Quiz (Zeppelin Games Ltd)                                                                              -      -     -
Arcadia (Imagine Software Ltd)                                                                                       ✗      -     -
Archon (Ariolasoft UK Ltd)                                                                                           -      -     -
Arena (MC Lothlorien Ltd)                                                                                            -      -     -
Arena 3000 (Microdeal)                                                                                               -      -     -
Arkanoid (Imagine Software Ltd)                                                                                      -      -     -
Arkanoid (Radastan)                                                                                                  ✗      -     ✗
Arlene (The Guild)                                                                                                   ✗      -     -
Armageddon (Fashionsoft)                                                                                             ✗      -     -
Armageddon (Ocean Software Ltd)                                                                                      -      -     -
Armageddon (Silversoft Ltd)                                                                                          -      -     -
Arnhem (CCS)                                                                                                         ✗      -     -
Arnold the Adventurer II (Zenobi Software)                                                                           ✗      -     -
Arnold the Adventurer III (Zenobi Software)                                                                          ✗      -     -
Arquimedes XXI (Dinamic Software)                                                                                    ✗      -     -
Arrow of Death Part 1 (Digital Fantasia)                                                                             -      -     -
Arrow of Death Part 2 (Digital Fantasia)                                                                             -      -     -
Artura (Gremlin Graphics Software Ltd)                                                                               -      -     -
Asalto y Castigo (Baltasar el Arquero)                                                                               -      -     -
Ashes, The (CCS)                                                                                                     ✗      -     -
Ashkeron! (Mirrorsoft Ltd)                                                                                           -      -     -
Aspar GP Master (Dinamic Software)                                                                                   -      -     -
Assignment East Berlin (Sterling Software)                                                                           ✗      -     -
Asterix and the Magic Cauldron (Melbourne House)                                                                     -      -     -
Asteroides (Eyrolles)                                                                                                -      -     ✗
Asteroids Ahead! (ZX Computing)                                                                                      ✗      -     ✗
Astro (MicroHobby)                                                                                                   ✗      -     -
Astro Blaster (Quicksilva Ltd)                                                                                       -      -     ✗
Astroblasters (Nigel Stuart)                                                                                         ✗      -     ✗
