Nintendo - Super Nintendo Entertainment System Missing

Boxarts   3324/3453  96.26%
Snaps     3037/3453  87.95%
Titles    3037/3453  87.95%
Total    9398/10359  90.72%

Name                                                                              Boxart  Snap  Title
Famicom Bunko - Hajimari no Mori (Japan) (NP)                                        ✗      ✓     ✓
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (NP)                    ✗      ✓     ✓
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (Rev 1) (NP)            ✗      ✓     ✓
FIFA - A Caminho Da Copa 98 (Brazil) (En,Fr,De,Es,It,Sv)                             ✓      ✗     ✗
FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv)                             ✓      ✗     ✗
Finalset (Japan) (Beta)                                                              ✓      ✗     ✗
Firearm (USA) (Proto)                                                                ✗      ✗     ✗
Firemen, The (Europe) (Beta)                                                         ✓      ✗     ✗
Fireteam Rogue (USA) (Proto 1)                                                       ✓      ✗     ✗
Fireteam Rogue (USA) (Proto 2)                                                       ✓      ✗     ✗
Flintstones, The - The Treasure of Sierra Madrock (USA) (Beta)                       ✓      ✗     ✗
Foreman for Real (Japan) (En)                                                        ✓      ✗     ✗
Frank Thomas Big Hurt Baseball (Japan) (En)                                          ✓      ✗     ✗
Gakkou de Atta Kowai Hanashi (Japan) (Rev 1) (NP)                                    ✗      ✗     ✗
Galaxy Wars (Japan) (En)                                                             ✓      ✗     ✗
Game Genie (USA) (Alt 1) (Unl) [b]                                                   ✗      ✗     ✗
Game Genie (USA) (Unl) [b]                                                           ✗      ✗     ✗
Game Genie (USA) (v2.0) (Unl)                                                        ✗      ✓     ✓
Game Saver (Europe) (v1.6) (Unl)                                                     ✗      ✓     ✓
Game Saver (Europe) (v1.7) (Unl)                                                     ✗      ✓     ✓
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 1)                          ✓      ✗     ✗
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1)         ✓      ✗     ✗
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2)         ✓      ✗     ✗
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Sample)        ✓      ✗     ✗
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 1)       ✓      ✗     ✗
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2)       ✓      ✗     ✗
Ganpuru - Gunman's Proof (Japan) (Beta)                                              ✓      ✗     ✗
Garry Kitchen's Super Battletank - War in the Gulf (USA)                             ✓      ✗     ✗
Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1)                     ✓      ✗     ✗
Garry Kitchen's Super Battletank (Europe)                                            ✓      ✗     ✗
Gerry Anderson's Thunderbirds - Kokusai Kyuujotai Shutsudou Seyo!! (Japan)           ✓      ✗     ✗
Gods (USA) (Beta)                                                                    ✓      ✗     ✗
Gojira - Kaijuu Daikessen (Japan)                                                    ✓      ✗     ✗
Gokujou Parodius (Japan) (Sample)                                                    ✓      ✗     ✗
GP-1 (Japan) (En)                                                                    ✓      ✗     ✗
GP-1 RS - Rapid Stream (Japan) (En)                                                  ✓      ✗     ✗
Gradius III (Japan) (En)                                                             ✓      ✗     ✗
Granhistoria - Genshi Sekaiki (Japan) (Rev 1)                                        ✓      ✗     ✗
Granhistoria - Genshi Sekaiki (Japan) (Sample)                                       ✓      ✗     ✗
GunForce (Japan) (En)                                                                ✓      ✗     ✗
Hakunetsu Pro Yakyuu '94 - Ganba League 3 (Japan) (Beta)                             ✓      ✗     ✗
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Beta)                             ✓      ✗     ✗
Hat Trick Hero (Japan) (En)                                                          ✓      ✗     ✗
Havoc (USA) (Beta)                                                                   ✗      ✗     ✗
Hebereke no Popoon (Japan) (Beta)                                                    ✓      ✗     ✗
Hit the Ice - VHL - The Official Video Hockey League (USA)                           ✓      ✗     ✗
Honoo no Toukyuuji - Dodge Danpei (Japan) (Sample)                                   ✓      ✗     ✗
Human Grand Prix (Japan) (En)                                                        ✓      ✗     ✗
Human Grand Prix 2 (Japan) (Sample)                                                  ✓      ✗     ✗
Human Grand Prix II (Japan) (En)                                                     ✓      ✗     ✗
Human Grand Prix III - F1 Triple Battle (Japan) (En)                                 ✓      ✗     ✗
Human Grand Prix IV - F1 Dream Battle (Japan) (En)                                   ✓      ✗     ✗
Hyper Iria (Japan) (Sample)                                                          ✓      ✗     ✗
HyperZone (Japan) (En)                                                               ✓      ✗     ✗
Igo Club (Japan) (Rev 2)                                                             ✓      ✗     ✗
International Tennis Tour (Japan) (En)                                               ✓      ✗     ✗
Irem Skins Game, The (USA) (Arcade)                                                  ✓      ✗     ✗
Iron Commando (Europe) (Proto) [b]                                                   ✗      ✗     ✗
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan) (Beta)                            ✓      ✗     ✗
J.League Excite Stage '95 (Japan) (Sample)                                           ✓      ✗     ✗
Jaleco Rally Big Run - The Supreme 4WD Challenge (Japan) (En)                        ✓      ✗     ✗
Jeff's Shoot'Em Up (USA) (Proto)                                                     ✗      ✗     ✗
Jelly Boy 2 (Japan) (Proto)                                                          ✗      ✓     ✓
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 2)                                        ✓      ✗     ✗
Jikkyou World Soccer 2 - Fighting Eleven (Japan) (Rev 1) (NP)                        ✓      ✗     ✗
JRA PAT - Wide Taiouban (Japan) (TJDJ)                                               ✗      ✗     ✗
JRA PAT - Wide Taiouban (Japan) (TJEJ)                                               ✗      ✗     ✗
JRA PAT (Japan) (TJAJ)                                                               ✗      ✓     ✓
JRA PAT (Japan) (TJBJ)                                                               ✗      ✓     ✓
Judge Dredd (Japan) (En)                                                             ✓      ✗     ✗
Jungle Book, The (Japan) (En)                                                        ✓      ✗     ✗
Justice League Task Force (Japan) (En)                                               ✓      ✗     ✗
Kagakusha Harley no Haran Banjou (Japan) (En)                                        ✓      ✗     ✗
Ken Griffey Jr. Presents Major League Baseball (USA) (Rev 1)                         ✓      ✗     ✗
Kevin Keegan's Player Manager (Europe) (Sample)                                      ✓      ✗     ✗
Kid Klown in Crazy Chase (USA) (Beta)                                                ✓      ✗     ✗
King of Fighters 2000 (Brazil) (Unl) (Pirate)                                        ✗      ✗     ✗
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan) (Rev 1) (NP)                   ✗      ✗     ✗
Lemmings (Japan) (En)                                                                ✓      ✗     ✗
Lethal Weapon (USA) (Arcade)                                                         ✓      ✗     ✗
Lion King, The (USA) (Beta 1)                                                        ✗      ✗     ✗
