Sega - Saturn

Boxarts   229/4451  5.14%
Snaps     229/4451  5.14%
Titles    228/4451  5.12%
Total    686/13353  5.14%

Name                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Boxart  Snap  Title
Advanced World War - Sennen Teikoku no Koubou - Last of the Millennium (Japan) (Rev B)                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Advanced World War - Sennen Teikoku no Koubou ~Last of the Millennium~ (JP) - _#12450;_#12489;_#12496;_#12531;_#12473;_#12489;_#12288;_#12527;_#12540;_#12523;_#12489;_#12288;_#12454;_#12457;_#12540;_#12288;_#21315;_#24180;_#24093;_#22269;_#12398;_#33288;_#20129;                                                                                                                                                                                                                                       ✗      ✗     ✗
Advanced World War - Sennen Teikoku no Koubou ~Last of the Millennium~ (Satakore) (JP) - _#12450;_#12489;_#12496;_#12531;_#12473;_#12489;_#12288;_#12527;_#12540;_#12523;_#12489;_#12288;_#12454;_#12457;_#12540;_#12288;_#21315;_#24180;_#24093;_#22269;_#12398;_#33288;_#20129;_#12288;_#65288;_#12469;_#12479;_#12467;_#12524;_#65289;                                                                                                                                                                    ✗      ✗     ✗
After Burner II v1.001 (1996)(Sega)(NTSC)(JP)[!][Sega Ages]                                                                                                                                                                                                                                                                                                                                                                                                                                                  ✗      ✗     ✗
Ai Iijima Interactive Video Clip - Good Island Cafe (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                  ✗      ✗     ✗
AI Shougi (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ✗      ✗     ✗
AI Shougi 2 (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ✗      ✗     ✗
Air Management '96 (JP) - _#12456;_#12450;_#12540;_#12510;_#12493;_#12472;_#12513;_#12531;_#12488;__#65305;_#65302;                                                                                                                                                                                                                                                                                                                                                                                          ✗      ✗     ✗
Airs Adventure (JAP) (DW0400)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ✗      ✗     ✗
Airs Adventure (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Airs Adventure (JP) - _#12456;_#12450;_#12540;_#12474;_#12450;_#12489;_#12505;_#12531;_#12481;_#12515;_#12540;                                                                                                                                                                                                                                                                                                                                                                                               ✗      ✗     ✗
Airs Adventure v1.004 (1996)(Game Studio)(NTSC)(JP)[!]                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Akumajo Dracula X - Gekka no Yasoukyoku (JAP) (DW0007)                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Akumajou Dracula X - Gekka no Yasoukyoku v1.400 (1998)(Konami)(NTSC)(JP)[!]                                                                                                                                                                                                                                                                                                                                                                                                                                  ✗      ✗     ✗
Akumajou Dracula X ~Gekka no Yasoukyoku~ (JP) - _#24746;_#39764;_#22478;_#12489;_#12521;_#12461;_#12517;_#12521;_#65336;_#12288;_#65374;_#26376;_#19979;_#12398;_#22812;_#24819;_#26354;_#65374;                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
Albert Odyssey - Legend of Eldean (JAP) (DW0521)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
Albert Odyssey - Legend of Eldean (US)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Albert Odyssey - Legend of Eldean (USA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ✓      ✓     ✓
Albert Odyssey - Legend of Eldean (USA) (RE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ✗      ✗     ✗
Albert Odyssey (USA) (v1.010) (DW0230)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Albert Odyssey (USA) (v1.100) (DW0791)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Albert Odyssey Gaiden - Legend of Eldean (Japan) (1M)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Albert Odyssey Gaiden - Legend of Eldean (Japan) (2M)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M)                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Albert Odyssey Gaiden ~Legend of Eldean~ (JP) - _#12450;_#12523;_#12496;_#12540;_#12488;_#12458;_#12487;_#12483;_#12475;_#12452;_#12288;_#22806;_#20253;_#12288;_#65374;_#12524;_#12472;_#12455;_#12531;_#12489;_#12288;_#12458;_#12502;_#12288;_#12456;_#12523;_#12487;_#12451;_#12540;_#12531;_#65374;                                                                                                                                                                                                     ✗      ✗     ✗
Albert Odyssey Gaiden ~Legend of Eldean~ (Shokai Press Gentei) (JP) - _#12450;_#12523;_#12496;_#12540;_#12488;_#12458;_#12487;_#12483;_#12475;_#12452;_#12288;_#22806;_#20253;_#12288;_#65374;_#12524;_#12472;_#12455;_#12531;_#12489;_#12288;_#12458;_#12502;_#12288;_#12456;_#12523;_#12487;_#12451;_#12540;_#12531;_#65374;_#12288;_#65288;_#21021;_#22238;_#12503;_#12524;_#12473;_#38480;_#23450;_#65289;                                                                                               ✗      ✗     ✗
Album Club (JAP) (DW0585)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ✗      ✗     ✗
Album Club (Mune Kyun) - Saint Paulia Jogakuin (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                       ✗      ✗     ✗
Album Club (Mune Kyun) ~Saint Paulia Jogakuin~ (JP) - _#12450;_#12523;_#12496;_#12512;_#20534;_#27005;_#37096;_#12288;_#33016;_#12461;_#12517;_#12531;_#12288;_#12475;_#12531;_#12488;_#12509;_#12540;_#12522;_#12450;_#22899;_#23398;_#38498;                                                                                                                                                                                                                                                               ✗      ✗     ✗
Alien Trilogy (DE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ✗      ✗     ✗
Alien Trilogy (Europe) (En,Fr,Es,It)                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ✗      ✗     ✗
Alien Trilogy (GB^FR)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Alien Trilogy (Germany)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ✗      ✗     ✗
Alien Trilogy (JAP) (DW0569)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ✗      ✗     ✗
Alien Trilogy (Japan)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Alien Trilogy (JP) - _#12456;_#12452;_#12522;_#12450;_#12531;_#12488;_#12522;_#12525;_#12472;_#12540;                                                                                                                                                                                                                                                                                                                                                                                                        ✗      ✗     ✗
Alien Trilogy (US)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ✗      ✗     ✗
Alien Trilogy (USA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ✓      ✓     ✓
Alien Trilogy (USA) (DW0720)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ✗      ✗     ✗
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(DE)[!]                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(M4)[!]                                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
All Japan Pro Wrestling Featuring Virtua (JAP) (v1.000) (DW0207)                                                                                                                                                                                                                                                                                                                                                                                                                                             ✗      ✗     ✗
