Nintendo - Nintendo Entertainment System Missing

Boxarts  1940/2878  67.41%
Snaps    2629/2878  91.35%
Titles   2627/2878  91.28%
Total    7196/8634  83.34%

Name                                                                                          Boxart  Snap  Title
City Adventure Touch - Mystery of Triangle (Japan)                                               ✗      ✓     ✓
Clu Clu Land (USA) (GameCube Edition)                                                            ✗      ✗     ✗
Cobra Mission (Asia) (Ja) (Unl)                                                                  ✗      ✗     ✗
Cobra Mission (Asia) (Unl)                                                                       ✗      ✓     ✓
Color a Dinosaur (USA) (Beta)                                                                    ✓      ✗     ✗
Colorful Dragon (Asia) (Ja) (PAL) (Unl)                                                          ✗      ✗     ✗
Columbus - Ougon no Yoake (Japan)                                                                ✗      ✓     ✓
Columbus - Ougon no Yoake (Japan) (Sample)                                                       ✗      ✗     ✗
Contra (Japan) (Sample)                                                                          ✗      ✗     ✗
Corre Benny (Spain) (Gluk Video) (Unl)                                                           ✗      ✗     ✗
Cosmos Cop (Asia) (En) (Mega Soft) (Unl)                                                         ✗      ✗     ✗
Cosmos Cop (Asia) (Mega Soft) (Unl)                                                              ✗      ✗     ✗
Cosmos Cop (Spain) (Gluk Video) (Unl)                                                            ✗      ✗     ✗
Crayon Shin-chan - Ora to Poi Poi (Japan)                                                        ✗      ✓     ✓
Crazy Climber (Japan)                                                                            ✗      ✓     ✓
Creatom (Spain) (Gluk Video) (Unl)                                                               ✗      ✗     ✗
Crime Busters (Unknown) (Unl)                                                                    ✗      ✓     ✓
Crisis Force (Japan)                                                                             ✗      ✓     ✓
Crisis Force (Japan) (Sample)                                                                    ✗      ✗     ✗
Cross Fire (Japan)                                                                               ✗      ✓     ✓
Cross Fire (USA) (Proto)                                                                         ✗      ✓     ✓
Cycle Race - Road Man (Japan)                                                                    ✗      ✓     ✓
Daikaijuu Deburas (Japan)                                                                        ✗      ✓     ✓
Daiku no Gen-san 2 - Akage no Dan no Gyakushuu (Japan)                                           ✗      ✓     ✓
Daisenryaku (Japan)                                                                              ✗      ✓     ✓
Daiva - Imperial of Nirsartia (Japan)                                                            ✗      ✓     ✓
Dancing Blocks (Asia) (Ja) (PAL) (Unl)                                                           ✗      ✗     ✗
Dancing Blocks (Asia) (PAL) (Unl)                                                                ✗      ✓     ✓
Dao Shuai (Asia) (Ja) (Unl)                                                                      ✗      ✗     ✗
Datach - Battle Rush - Build Up Robot Tournament (Japan)                                         ✗      ✓     ✓
Datach - Crayon Shin-chan - Ora to Poi Poi (Japan)                                               ✗      ✓     ✓
Datach - Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan)                                      ✗      ✓     ✓
Datach - J League Super Top Players (Japan)                                                      ✗      ✓     ✓
Datach - SD Gundam - Gundam Wars (Japan)                                                         ✗      ✓     ✓
Datach - Ultraman Club - Supokon Fight! (Japan)                                                  ✗      ✓     ✓
Datach - Yu Yu Hakusho - Bakutou Ankoku Bujutsukai (Japan)                                       ✗      ✓     ✓
Dead Fox (Japan)                                                                                 ✓      ✗     ✗
Deblock (Japan)                                                                                  ✗      ✓     ✓
Decathlon (Asia) (Ja) (Unl)                                                                      ✗      ✗     ✗
Deep Dungeon III - Yuushi e no Tabi (Japan)                                                      ✗      ✓     ✓
Deep Dungeon IV - Kuro no Youjutsushi (Japan)                                                    ✗      ✓     ✓
Derby Stallion - Zenkoku Ban (Japan)                                                             ✗      ✓     ✓
Destructor, El (Spain) (Gluk Video) (Unl)                                                        ✗      ✗     ✗
Devil Man (Japan)                                                                                ✗      ✓     ✓
Digital Devil Story - Megami Tensei II (Japan) (Rev A)                                           ✓      ✗     ✗
Dino-Hockey (USA) (Proto)                                                                        ✗      ✗     ✗
Dokuganryuu Masamune (Japan)                                                                     ✗      ✓     ✓
Donald Land (Japan)                                                                              ✗      ✓     ✓
Dong Dong Nao 1 (Asia) (Ja) (Unl)                                                                ✗      ✗     ✗
Dong Dong Nao II - Guo Zhong Ying Wen (Yi) (Asia) (Ja) (Unl)                                     ✗      ✗     ✗
Dong Dong Nao II - Guo Zhong Ying Wen (Yi) (Asia) (Unl)                                          ✗      ✓     ✓
Donkey Kong - Original Edition (USA) (Virtual Console)                                           ✗      ✗     ✗
Donkey Kong (USA) (GameCube Edition)                                                             ✗      ✗     ✗
Donkey Kong Jr. (USA) (GameCube Edition)                                                         ✗      ✗     ✗
Donkey Kong Jr. + Jr. Lesson (Japan)                                                             ✗      ✓     ✓
Dooly Bravo Land (Korea) (Unl)                                                                   ✗      ✗     ✗
Door Door (Japan)                                                                                ✗      ✓     ✓
Doraemon - Giga Zombie no Gyakushuu (Japan)                                                      ✗      ✓     ✓
Doraemon (Japan)                                                                                 ✗      ✓     ✓
Doraemon (Japan) (Rev A)                                                                         ✗      ✓     ✓
Dou Zhi Pin Pan - Wisdom Boy (China) (Unl)                                                       ✗      ✓     ✓
Double Dragon - Sou Setsu Ryuu (Japan)                                                           ✗      ✗     ✗
Double Moon Densetsu (Japan)                                                                     ✗      ✓     ✓
Dough Boy (Japan)                                                                                ✗      ✓     ✓
Downtown - Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)                                  ✗      ✓     ✓
Dr. Mario (USA) (Beta) (1990-04-27)                                                              ✗      ✗     ✗
Dr. Mario (USA) (Beta) (Between 1990-02-02 _ 1990-04-27, later)                                  ✗      ✗     ✗
Dragon Ball 3 - Gokuu Den (Japan) (Rev 1)                                                        ✓      ✗     ✗
Dragon Buster (Japan)                                                                            ✗      ✓     ✓
Dragon Buster II - Yami no Fuuin (Japan)                                                         ✗      ✓     ✓
Dragon Scroll - Yomigaerishi Maryuu (Japan)                                                      ✗      ✓     ✓
Dragon Warrior (USA) (Beta)                                                                      ✗      ✗     ✗
Dragon Wars (Japan)                                                                              ✗      ✓     ✓
Dragon Wars (USA) (Proto)                                                                        ✗      ✓     ✓
