Nintendo - Family Computer Disk System Missing

Boxarts   48/298  16.11%
Snaps    158/298  53.02%
Titles   159/298  53.36%
Total    365/894  40.83%

Name                                                                                      Boxart  Snap  Title
FMC Disk Card Checker Ver 1.3 (Japan) (Rev 2) (Developer Card)                               ✗      ✓     ✓
Fruits Mahjong 1 - Disk 1 - Mahjong Game Hontai (Japan) (Unl)                                ✗      ✓     ✓
Fruits Mahjong 1 - Disk 2 - Dai H Taikai (Japan) (Unl)                                       ✗      ✗     ✗
Fruits Mahjong 2 - Disk 1 - Tokimeki Gals (Japan) (Unl)                                      ✗      ✓     ✓
Fruits Mahjong 2 - Disk 2 - Yonin to Dai H Taikai (Japan) (Unl)                              ✗      ✓     ✓
Fruits Mahjong 3 - Disk 1 - Yonin no Tenshi Tachi (Japan) (Unl)                              ✗      ✓     ✓
Fruits Mahjong 3 - Disk 2 - Tottemo H na Gogo (Japan) (Unl)                                  ✗      ✓     ✓
Fruits Mahjong 4 - Disk 1 - Bishoujo Connection (Japan) (Unl)                                ✗      ✓     ✓
Fruits Mahjong 4 - Disk 2 - Daitan H na Hirusagari (Japan) (Unl)                             ✗      ✓     ✓
Fuuun Shourin Ken - Ankoku no Maou (Japan)                                                   ✗      ✗     ✗
Fuuun Shourin Ken (Japan)                                                                    ✗      ✗     ✗
Galaga (Japan) (Disk Writer) [b]                                                             ✗      ✗     ✗
Galaxian (Japan) (Disk Writer) [b]                                                           ✗      ✗     ✗
Gall Force - Eternal Story (Japan)                                                           ✗      ✗     ✗
Game no Tatsujin - Money Wars (Japan) (Unl)                                                  ✗      ✓     ✓
German Tanteidan MarinGumi - Maruhi Jigomar Sousa File (Japan) [b]                           ✗      ✗     ✗
Ginga Denshou - Galaxy Odyssey (Japan)                                                       ✗      ✓     ✓
Gokuraku Yuugi - Game Tengoku (Japan) [b]                                                    ✗      ✗     ✗
Golf - Japan Course (Japan)                                                                  ✗      ✓     ✓
Golf - Japan Course (Japan) (Prize Card)                                                     ✗      ✓     ✓
Golf - Special Course (Japan) (Prize Card)                                                   ✗      ✓     ✓
Golf - US Course (Japan)                                                                     ✗      ✓     ✓
Golf (Japan)                                                                                 ✗      ✓     ✓
Golf (Japan) (Rev 1)                                                                         ✗      ✓     ✓
Golf, The - Bishoujo Classic (Japan) (Unl)                                                   ✗      ✓     ✓
Goonies (Japan) (Disk Writer) [b]                                                            ✗      ✗     ✗
