Microsoft - MSX2 Missing

Boxarts   66/195  33.85%
Snaps    194/195  99.49%
Titles   194/195  99.49%
Total    454/585  77.61%

Name                                                                        Boxart  Snap  Title
Maison Ikkoku - Omoide no Photograph (Japan)                                   ✗      -     -
Malaya no Hibou (Japan)                                                        ✗      -     -
Metal Gear (Europe)                                                            -      -     -
Metal Gear (Japan)                                                             -      -     -
Metal Gear 2 - Solid Snake (Japan)                                             ✗      -     -
Metal Gear 2 - Solid Snake (Japan) (Demo)                                      ✗      -     -
Mirai (Japan)                                                                  -      -     -
Mississippi Satsujinjiken (Japan)                                              ✗      -     -
Moero!! Nettou Yakyuu '88 (Japan)                                              ✗      -     -
Monmon Kaibutsu (Japan)                                                        -      -     -
Nekketsu Juudou (Japan)                                                        ✗      -     -
Nekketsu Juudou (Japan) (Alt 1)                                                ✗      -     -
Ninja-kun - Asura no Shou (Japan)                                              -      -     -
Nobunaga no Yabou - Bushou Fuuun Roku (Japan)                                  ✗      -     -
Nobunaga no Yabou - Sengoku Gunyuuden (Japan)                                  ✗      -     -
Nobunaga no Yabou - Zenkoku Ban (Japan)                                        ✗      -     -
Ogre (Japan)                                                                   -      -     -
Ogre (Japan) (Alt 1)                                                           ✗      -     -
Ouke no Tani - El Giza no Fuuin - Edit Contest Yuushuu Sakuhinshuu (Japan)     ✗      -     -
Ouke no Tani - El Giza no Fuuin (Japan)                                        -      -     -
Out Run (Japan)                                                                -      -     -
Pac-Mania (Japan)                                                              -      -     -
Pachi Pro Densetsu (Japan)                                                     ✗      -     -
Penguin-kun Wars 2 (Japan)                                                     -      -     -
Penguin-kun Wars 2 (Japan) (Alt 1)                                             ✗      -     -
Predator (Japan)                                                               -      -     -
Pro Yakyuu Family Stadium - Pennant Race (Japan)                               ✗      -     -
Pro Yakyuu Fan - Telenet Stadium (Japan)                                       ✗      -     -
Professional Mahjong Gokuu (Japan)                                             ✗      -     -
Project A2 - Shijousaidai no Hyouteki (Japan)                                  ✗      -     -
Quarth (Japan)                                                                 -      -     -
Quarth (Japan) (Demo)                                                          ✗      -     -
Quarth (Korea)                                                                 ✗      -     -
Quinpl (Japan)                                                                 ✗      -     -
Rastan Saga (Japan)                                                            -      -     -
Relics (Japan)                                                                 ✗      -     -
Replicart (Japan)                                                              -      -     -
Return of Ishtar, The (Japan)                                                  -      -     -
Return of Jelda (Japan)                                                        ✗      -     -
Rick to Mick no Daibouken (Japan)                                              ✗      -     -
Royal Blood (Japan)                                                            ✗      -     -
Sangokushi (Japan)                                                             ✗      -     -
Sangokushi II (Japan)                                                          ✗      -     -
Scramble Formation (Japan)                                                     -      -     -
Seikima II Special - Akuma no Gyakushuu (Japan)                                ✗      -     -
Seikima II Special - Akuma no Gyakushuu (Japan) (Alt 1)                        ✗      -     -
Shanghai (Japan)                                                               ✗      -     -
Shiryou Sensen - War of the Dead (Japan)                                       -      -     -
Space Manbow (Japan)                                                           -      -     -
Star Virgin (Japan)                                                            -      -     -
Star Virgin (Japan) (Alt 1)                                                    ✗      -     -
Strategic Mars (Japan)                                                         -      -     -
Suikoden - Tenmei no Chikai (Japan)                                            ✗      -     -
Super Daisenryaku (Japan)                                                      -      -     -
Super Load Runner (Japan)                                                      -      -     -
Super Rambo Special (Japan)                                                    -      -     -
Super Runner (Japan)                                                           ✗      -     -
Super Tritorn (Japan)                                                          -      -     -
Synthe Saurus (Japan) (Program)                                                ✗      -     -
Taiyou no Shinden - Asteka II (Japan)                                          ✗      -     -
Tanikawa Hiroshi no Shougi Shinan 2 (Japan)                                    ✗      -     -
Teitoku no Ketsudan (Japan)                                                    ✗      -     -
Tengoku Yoitoko (Japan)                                                        ✗      -     -
Tetris (Japan)                                                                 -      -     -
Topple Zip (Japan)                                                             ✗      -     -
Treasure of Usas, The (Japan, Europe)                                          -      -     -
Treasure of Usas, The (Japan, Europe) (Alt 1)                                  ✗      -     -
Tsurikichi Sanpei - Blue Marine Hen (Japan)                                    ✗      -     -
Tsurikichi Sanpei - Tsuri Sennin Hen (Japan)                                   ✗      -     -
Ultima Exodus (Japan)                                                          ✗      -     -
Urusei Yatsura - Koi no Survival Birthday (Japan)                              ✗      -     -
Vampire Killer (Japan, Europe)                                                 -      -     -
Vampire Killer (Japan, Europe) (Alt 1)                                         ✗      -     -
Vampire Killer (Japan, Europe) (Alt 2)                                         ✗      -     -
Vampire Killer (Japan, Europe) (Alt 3)                                         ✗      -     -
Victorious Nine II - Koukou Yakyuu Hen (Japan)                                 ✗      -     -
Wizardry (Japan)                                                               ✗      -     -
Woody Poco (Japan)                                                             ✗      -     -
Woody Poco (Japan) (Alt 1)                                                     ✗      -     -
Xevious - Fardraut Saga (Japan)                                                -      -     -
Xevious - Fardraut Saga (Japan) (Alt 1)                                        ✗      -     -
Yaksa (Japan)                                                                  ✗      -     -
Yamamura Misa Suspense - Kyoto Ryuu no Tera Satsujinjiken (Japan)              ✗      -     -
Yuurei-kun (Japan)                                                             -      -     -
Zanac Ex (Japan)                                                               ✗      -     -
Zanac Ex (Japan) (Alt 1)                                                       ✗      -     -
Zoids - Chuuou Tairiku no Tatakai (Japan)                                      ✗      -     -
Zombie Hunter (Japan)                                                          -      -     -
Zukkoke Yajikita Onmitsu Douchuu (Japan)                                       ✗      -     -
Zukkoke Yajikita Onmitsu Douchuu (Japan) (Alt 1)                               ✗      -     -
