Microsoft - MSX

Boxarts      0/936   0.00%
Snaps      913/936  97.54%
Titles     914/936  97.65%
Total    1827/2808  65.06%

Name                                                         Boxart  Snap  Title
Boogie Woogi Jungle (Japan) (Alt 1)                             ✗      ✓     ✓
Boogie Woogi Jungle (Japan) (Alt 2)                             ✗      ✓     ✓
Boomerang (Japan)                                               ✗      ✓     ✓
Boomerang (Japan) (Alt 1)                                       ✗      ✓     ✓
Borfesu (Japan)                                                 ✗      ✓     ✓
Bosconian (Japan)                                               ✗      ✓     ✓
Bosconian (Japan) (Alt 1)                                       ✗      ✓     ✓
Bosconian (Japan) (Alt 2)                                       ✗      ✓     ✓
Bouken Roman - Dota (Japan)                                     ✗      ✓     ✓
Bouken Roman - Dota (Japan) (Alt 1)                             ✗      ✓     ✓
Boulder Dash (Japan)                                            ✗      ✓     ✓
Bouncing Block (Spain)                                          ✗      ✓     ✓
Bouncing Block (Spain) (Alt 1)                                  ✗      ✓     ✓
Brain, The (Japan)                                              ✗      ✓     ✓
Break In (Japan)                                                ✗      ✓     ✓
Break Out (Japan)                                               ✗      ✓     ✓
Brother Adventure (Korea) (Unl)                                 ✗      ✓     ✓
Brother Adventure (Korea) (Alt 1) (Unl)                         ✗      ✓     ✓
Bruce Lee (Japan)                                               ✗      ✓     ✓
Bubble Bobble (Korea) (Unl)                                     ✗      ✓     ✓
Bubble Bobble (Korea) (Alt 1) (Unl)                             ✗      ✓     ✓
Burgertime (Japan)                                              ✗      ✓     ✓
Buru To Marty Kikiippatsu - Inspecteur Z (Japan)                ✗      ✓     ✓
Butam Pants (Japan)                                             ✗      ✓     ✓
Butam Pants (Japan) (Alt 1)                                     ✗      ✓     ✓
Butam Pants (Japan) (Alt 2)                                     ✗      ✓     ✓
C-So! (Japan)                                                   ✗      ✓     ✓
Cabbage Patch Kids (Japan)                                      ✗      ✓     ✓
Cabbage Patch Kids (Japan) (Alt 1)                              ✗      ✓     ✓
Candoo Ninja (Japan)                                            ✗      ✓     ✓
Candoo Ninja (Japan) (Alt 1)                                    ✗      ✓     ✓
Cannon Ball (Japan)                                             ✗      ✓     ✓
Cannon Ball (Japan) (Alt 1)                                     ✗      ✓     ✓
Cannon Fighter (Japan)                                          ✗      ✓     ✓
Captain Chef (Japan)                                            ✗      ✓     ✓
Car Fighter (Japan)                                             ✗      ✓     ✓
Car Jamboree (Japan)                                            ✗      ✓     ✓
Car Jamboree (Japan) (Alt 1)                                    ✗      ✓     ✓
Car-Race (Japan)                                                ✗      ✓     ✓
Car-Race (Japan) (Alt 1)                                        ✗      ✓     ✓
Car-Race (Japan) (Alt 2)                                        ✗      ✓     ✓
Casio Daishogai Keiba (Japan)                                   ✗      ✓     ✓
Casio Pachinko-U.F.O. (Japan)                                   ✗      ✓     ✓
Casio Ski Command (Japan)                                       ✗      ✓     ✓
Casio Ski Command (Japan) (Alt 1)                               ✗      ✓     ✓
Casio Worldopen (Japan)                                         ✗      ✓     ✓
Castle Excellent (Japan)                                        ✗      ✓     ✓
Castle Excellent (Japan) (Alt 1)                                ✗      ✓     ✓
Castle, The (Japan)                                             ✗      ✓     ✓
Chack'n Pop (Japan)                                             ✗      ✓     ✓
Chack'n Pop (Japan) (Alt 1)                                     ✗      ✓     ✓
Challenge Derby (Japan)                                         ✗      ✓     ✓
Champion Boxing (Japan)                                         ✗      ✓     ✓
Champion Ice Hockey (Japan)                                     ✗      ✓     ✓
Champion Kendou (Japan)                                         ✗      ✓     ✓
Champion Kendou (Japan) (Alt 1)                                 ✗      ✓     ✓
Champion Pro Wrestling (Japan)                                  ✗      ✓     ✓
Champion Pro Wrestling (Japan) (Alt 1)                          ✗      ✓     ✓
Champion Pro Wrestling (Japan) (Alt 2)                          ✗      ✓     ✓
Champion Soccer (Japan)                                         ✗      ✓     ✓
Championship Lode Runner (Japan)                                ✗      ✓     ✓
Checkers in Tantan Tanuki (Japan)                               ✗      ✓     ✓
Cheese (Japan) (Program)                                        ✗      ✓     ✓
Chess (Japan)                                                   ✗      ✓     ✓
Chess Game, The (Europe)                                        ✗      ✓     ✓
Choplifter (Japan)                                              ✗      ✓     ✓
Choplifter (Japan) (Alt 1)                                      ✗      ✓     ✓
Choplifter (Japan) (Alt 2)                                      ✗      ✓     ✓
Choro Q (Japan)                                                 ✗      ✓     ✓
Choro Q (Japan) (Alt 1)                                         ✗      ✓     ✓
Chugaku Hisshu Eibunpo 1 (Japan)                                ✗      ✓     ✓
Circus Charlie (Japan)                                          ✗      ✓     ✓
City Connection (Japan)                                         ✗      ✓     ✓
City Connection (Japan) (Alt 1)                                 ✗      ✓     ✓
Coaster Race (Japan)                                            ✗      ✓     ✓
Coaster Race (Japan) (Alt 1)                                    ✗      ✓     ✓
Coaster Race (Japan) (Alt 2)                                    ✗      ✓     ✓
Color Ball (Japan)                                              ✗      ✓     ✓
Color Ball (Japan) (Alt 1)                                      ✗      ✓     ✓
Color Ball (Japan) (Alt 2)                                      ✗      ✓     ✓
Columns (Japan)                                                 ✗      ✓     ✓
Come On! Picot (Japan)                                          ✗      ✓     ✓
Comecocos (Spain)                                               ✗      ✓     ✓
Comet Tail (Japan)                                              ✗      ✓     ✓
Comic Bakery (Japan)                                            ✗      ✓     ✓
Comic Bakery (Japan) (Alt 1)                                    ✗      ✓     ✓
Comic Bakery (Japan) (Alt 2)                                    ✗      ✓     ✓
Computer Billiards (Japan)                                      ✗      ✓     ✓
Computer Nyuumon - Computer Lessons (Japan)                     ✗      ✓     ✓
Computer Othello (Japan)                                        ✗      ✓     ✓
Computer Othello (Japan) (Alt 1)                                ✗      ✓     ✓
Computer Pachinko (Japan)                                       ✗      ✓     ✓
